x1,y1,z1,x2,y2,z2
165.0, 85.0, 0.0, 179.0, 116.0, 9.0
117.0, 0.0, 34.0, 177.0, 81.0, 45.0
179.0, 13.0, 0.0, 240.0, 38.0, 9.0
38.0, 0.0, 0.0, 52.0, 73.0, 7.0
34.0, 177.0, 57.0, 101.0, 240.0, 82.0
42.0, 15.0, 7.0, 102.0, 78.0, 22.0
145.0, 116.0, 98.0, 240.0, 212.0, 127.0
0.0, 56.0, 36.0, 36.0, 139.0, 51.0
34.0, 178.0, 25.0, 132.0, 240.0, 37.0
85.0, 0.0, 30.0, 117.0, 60.0, 51.0
0.0, 0.0, 52.0, 43.0, 56.0, 80.0
66.0, 0.0, 0.0, 146.0, 15.0, 4.0
149.0, 0.0, 45.0, 240.0, 73.0, 71.0
140.0, 217.0, 0.0, 203.0, 240.0, 10.0
0.0, 0.0, 0.0, 38.0, 48.0, 19.0
81.0, 100.0, 52.0, 149.0, 168.0, 78.0
0.0, 84.0, 0.0, 31.0, 108.0, 11.0
172.0, 0.0, 26.0, 240.0, 66.0, 34.0
157.0, 116.0, 71.0, 240.0, 214.0, 98.0
0.0, 167.0, 7.0, 30.0, 240.0, 27.0
150.0, 0.0, 0.0, 179.0, 84.0, 7.0
31.0, 179.0, 0.0, 49.0, 240.0, 10.0
117.0, 0.0, 30.0, 172.0, 98.0, 34.0
89.0, 0.0, 52.0, 149.0, 100.0, 68.0
185.0, 66.0, 26.0, 240.0, 104.0, 42.0
0.0, 113.0, 0.0, 28.0, 166.0, 7.0
180.0, 161.0, 36.0, 240.0, 240.0, 52.0
182.0, 104.0, 0.0, 240.0, 147.0, 21.0
52.0, 0.0, 0.0, 66.0, 13.0, 8.0
159.0, 0.0, 9.0, 240.0, 35.0, 25.0
0.0, 56.0, 11.0, 31.0, 110.0, 27.0
179.0, 38.0, 4.0, 240.0, 100.0, 26.0
0.0, 60.0, 0.0, 30.0, 84.0, 5.0
43.0, 0.0, 52.0, 88.0, 74.0, 76.0
0.0, 0.0, 22.0, 85.0, 56.0, 52.0
71.0, 15.0, 0.0, 102.0, 101.0, 7.0
0.0, 166.0, 0.0, 25.0, 240.0, 7.0
36.0, 169.0, 37.0, 113.0, 240.0, 57.0
40.0, 81.0, 10.0, 102.0, 147.0, 35.0
173.0, 158.0, 29.0, 240.0, 240.0, 36.0
149.0, 161.0, 11.0, 197.0, 232.0, 29.0
0.0, 110.0, 7.0, 40.0, 147.0, 36.0
206.0, 38.0, 0.0, 240.0, 78.0, 4.0
49.0, 167.0, 0.0, 71.0, 240.0, 9.0
71.0, 171.0, 0.0, 113.0, 214.0, 25.0
0.0, 74.0, 52.0, 70.0, 144.0, 71.0
203.0, 148.0, 0.0, 240.0, 240.0, 28.0
49.0, 214.0, 9.0, 138.0, 240.0, 21.0
149.0, 161.0, 0.0, 163.0, 217.0, 11.0
118.0, 161.0, 0.0, 149.0, 210.0, 23.0
113.0, 179.0, 37.0, 172.0, 240.0, 52.0
102.0, 22.0, 0.0, 149.0, 116.0, 30.0
174.0, 147.0, 52.0, 240.0, 240.0, 71.0
40.0, 81.0, 35.0, 139.0, 167.0, 52.0
0.0, 148.0, 8.0, 81.0, 167.0, 19.0
0.0, 158.0, 27.0, 34.0, 240.0, 54.0
59.0, 101.0, 0.0, 95.0, 147.0, 10.0
102.0, 116.0, 0.0, 182.0, 161.0, 25.0
113.0, 0.0, 4.0, 147.0, 22.0, 10.0
40.0, 104.0, 0.0, 59.0, 164.0, 8.0
